step,mean_nv,std_nv,q_20_nv,q_40_nv,q_60_nv,q_80_nv,q_100_nv,obs_prop_particle_patch
34,205.65187254006875,145.2084956555022,93.12122736613335,142.33033377184813,196.89060103682718,295.7798189569129,972.8117447400582,0.9575
35,206.55944350374168,145.94294468076657,93.69179323866922,142.15923423980843,197.55239960036363,298.42644368520473,977.6384771746899,0.96
36,207.4338707385115,146.42779471848732,94.03764568566676,142.01667750025567,198.679164130129,301.74491911540207,982.1076387665644,0.96
37,207.97206268227504,146.67798684778597,93.86228509201312,143.7947849911178,198.1436157088028,301.6181115027374,985.6040677193324,0.955
38,208.46137640925855,146.7231320465365,93.99552035023967,144.95448326186528,198.74987267166318,301.4920395715259,987.8860292103874,0.955
39,208.9017632441661,146.60046128277995,94.06590871944675,145.31503188083335,199.44996126088364,300.77670676870184,988.7961884510908,0.955
40,209.21727620772532,146.471858147024,93.77144759906538,147.0065772299256,201.13019317751616,302.8732590506525,978.9906898516355,0.955
41,209.54268537378337,146.38435588369506,95.07254548265647,146.4306228140565,202.33940872727072,304.71393643082587,968.9687203892845,0.9575
42,209.57808300322952,146.12451948754583,95.2100766262987,147.82653837037853,201.9505222400296,305.38511535601464,958.7585022382736,0.9525
43,209.86985552866025,145.8486662436008,94.95953005957153,148.05731725376353,201.84361089064774,306.80554310418006,948.4875921727095,0.955
44,210.13067017361485,145.64887011510538,95.06450460152777,147.7305059898389,203.23764276902483,308.4282492190743,965.2090782042502,0.9575
45,210.23839127542232,145.22638048426367,94.9258468295402,147.52869298052346,203.9513077502812,308.3042344503608,978.2915668604983,0.9575
46,210.33276362495906,144.6727915041282,94.55340128153033,149.240489334027,204.03981313678744,305.83705064341825,990.1911130091972,0.9625
47,210.47868615964825,144.3788015628909,96.74524587756376,148.88898539450554,203.83592265167033,302.5216809704839,1000.5414358013727,0.9625
48,210.45594728984952,143.84761398722546,96.35276650247063,150.0643160262537,204.92216438426203,300.458236849752,1008.4597106312003,0.965
49,210.50948579574398,143.41562356314753,98.11516330126769,150.0072176878094,205.0534118556903,298.85064249670694,1015.6322350182811,0.965
50,210.47620086795325,142.85987373372254,98.5042822865107,149.89393154934382,206.03273356013537,297.68254147253145,1021.978512566789,0.965
51,210.37616010769239,142.6132237868814,97.32180154111046,150.20539701505732,207.49293519073572,297.3154986083178,1027.4721725425359,0.965
